"","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL","PELL_COMP_ORIG_YR6_RT","NOPELL_COMP_ORIG_YR6_RT","COMPL_RPY_3YR_RT","PELL_RPY_3YR_RT","NOPELL_RPY_3YR_RT","COMPL_RPY_1YR_RT","PELL_RPY_1YR_RT","NOPELL_RPY_1YR_RT","COSTT4_A","LO_INC_COMP_ORIG_YR4_RT","MD_INC_COMP_ORIG_YR4_RT","HI_INC_COMP_ORIG_YR4_RT"
"1","Alabama A & M University","Normal","AL","35762","0.5438","460","18","0.2573705179","0.0301","0.1372","0.0395","0.1015","0.0075","0","0.015","0","0.3222","32900","36100","39000","NULL",1,"0.31243973","0.3108108108","0.6090116279","0.4392059553","0.4398826979","0.4820359281","0.3428571429","0.4707379135","17351","0.2344827586","0.2621082621","0.3407821229"
"2","University of Alabama at Birmingham","Birmingham","AL","35294-0110","0.7223","640","26","0.4446555819","0.009","0.0578","0","0.0722","0.0159","0","0.0184","0","0.4815","45900","44100","49500","NULL",1,"0.4125386997","0.5519480519","0.8713304185","0.7488986784","0.818507891","0.8124658283","0.6726067136","0.7783916513","20441","0.3869936034","0.4590984975","0.5246478873"
"3","Amridge University","Montgomery","AL","36117-3553","NULL","NULL","NULL","0.2866666667","0.0095","0","0","0","0","0","0","0","0","PrivacySuppressed","44800","PrivacySuppressed","NULL",1,"0.3636363636","0.5306122449","PrivacySuppressed","0.4860335196","0.6486486486","0.6666666667","0.4539249147","0.6025641026","11420","0.3012048193","PrivacySuppressed","PrivacySuppressed"
"4","University of Alabama in Huntsville","Huntsville","AL","35899","0.7766","640","28","0.3792270531","0.0249","0.2648","0","0.071","0.0175","0","0.0203","0","0.4732","45800","52700","53300","NULL",1,"0.4292307692","0.4801980198","0.8866242038","0.7351778656","0.8413391557","0.8505263158","0.7203065134","0.8067010309","19687","0.3598484848","0.3815028902","0.4048913043"
"5","Alabama State University","Montgomery","AL","36104-0271","0.4604","480","18","0.1845416417","0.0701","0","0","0.0867","0.0295","0","0.0111","0","0.2635","27900","31100","32200","NULL",1,"0.1649196366","0.3414634146","0.4637681159","0.2980810235","0.3969849246","0.3098591549","0.2298989899","0.3668639053","17533","0.1545454545","0.2554216867","0.2077922078"
"6","The University of Alabama","Tuscaloosa","AL","35487-0166","0.5308","640","28","0.5043182413","0.0056","0.0745","0","0.035","0.0067","0","0.0107","0","0.6655","45800","48900","50200","NULL",1,"0.5263788969","0.6227506427","0.9058429475","0.7769645609","0.8690629012","0.8586616635","0.7029438002","0.8484848485","23939","0.4161650903","0.5160955348","0.5581120944"
"7","Central Alabama Community College","Alexander City","AL","35010","NULL","NULL","NULL","0.0246609125","0.0237","0","0.0621","0","0","0","0","0","NULL","29300","33900","39800","NULL",2,"PrivacySuppressed","PrivacySuppressed","0.5306122449","0.4058219178","0.7011494253","0.5737704918","0.3995584989","0.6878306878","6726","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"8","Athens State University","Athens","AL","35611","NULL","NULL","NULL","0.5117056856","0.0372","0","0","0.0319","0.0266","0","0","0","NULL","38100","44300","44700","NULL",1,"0.5483870968","0.697080292","0.8411843876","0.7516087516","0.8282442748","0.7855530474","0.7039537126","0.8190661479","NULL","0.4444444444","0.5689045936","0.6064516129"
"9","Auburn University at Montgomery","Montgomery","AL","36117-3596","0.7395","NULL","24","0.2631578947","0","0","0","0.1079","0.0128","0","0.0238","0","0.3004","33900","41100","41200","NULL",1,"0.2682215743","0.4803370787","0.7809694794","0.5788113695","0.7284768212","0.8069666183","0.5675675676","0.7438867439","15594","0.2398119122","0.252173913","0.3373015873"
"10","Auburn University","Auburn","AL","36849","0.7723","650","28","0.3109151047","0.0063","0.1631","0","0.07","0.0077","0","0.0084","0","0.6827","52300","51400","53800","NULL",1,"0.1637860082","0.1924982307","0.8968253968","0.8157349896","0.918799647","PrivacySuppressed","0.8398560504","0.9263157895","22352","0.2787550744","0.2921013413","0.3386727689"
"11","Birmingham Southern College","Birmingham","AL","35254","0.6522","610","27","0.3940520446","0.0029","0.0147","0","0.1059","0.0382","0","0.0412","0","0.6552","PrivacySuppressed","PrivacySuppressed","49900","NULL",1,"0.2183908046","0.1648351648","PrivacySuppressed","0.7190082645","0.9257142857","PrivacySuppressed","0.8508287293","0.8673469388","40957","0.3802816901","0.4096385542","0.3913043478"
"12","Chattahoochee Valley Community College","Phenix City","AL","36869","NULL","NULL","NULL","0.095567867","0.0455","0","0","0","0","0","0","0","NULL","27300","PrivacySuppressed","PrivacySuppressed","NULL",2,"0.0921305182","0.2291666667","0.5319148936","0.4058679707","0.6538461538","0.6181818182","0.4814814815","0.6341463415","6740","0.0752293578","PrivacySuppressed","PrivacySuppressed"
