SAT Frequency 
[1] 1263
    SAT         SATF
400   2 0.0015835313
420   4 0.0031670625
430   3 0.0023752969
440   6 0.0047505938
450   9 0.0071258907
460   5 0.0039588282
468   1 0.0007917656
470  26 0.0205859066
472   1 0.0007917656
475   1 0.0007917656
480   7 0.0055423595
485   1 0.0007917656
490  17 0.0134600158
493   2 0.0015835313
494   1 0.0007917656
499   1 0.0007917656
500  33 0.0261282660
505   1 0.0007917656
510  36 0.0285035629
520  48 0.0380047506
521   1 0.0007917656
523   1 0.0007917656
525   5 0.0039588282
530  66 0.0522565321
533   2 0.0015835313
535   2 0.0015835313
536   1 0.0007917656
537   1 0.0007917656
538   1 0.0007917656
540  80 0.0633412510
543   3 0.0023752969
544   1 0.0007917656
545   2 0.0015835313
548   2 0.0015835313
550  57 0.0451306413
555   2 0.0015835313
558   3 0.0023752969
560  86 0.0680918448
563   1 0.0007917656
565   1 0.0007917656
567   1 0.0007917656
568   1 0.0007917656
570  73 0.0577988915
575   2 0.0015835313
577   1 0.0007917656
578   3 0.0023752969
580  88 0.0696753761
583   1 0.0007917656
588   4 0.0031670625
590  58 0.0459224070
596   1 0.0007917656
598   2 0.0015835313
600  52 0.0411718131
604   1 0.0007917656
605   3 0.0023752969
606   1 0.0007917656
607   1 0.0007917656
608   1 0.0007917656
609   1 0.0007917656
610  82 0.0649247823
611   1 0.0007917656
612   1 0.0007917656
615   2 0.0015835313
618   1 0.0007917656
620  42 0.0332541568
625   2 0.0015835313
628   1 0.0007917656
630  32 0.0253365004
633   2 0.0015835313
635   3 0.0023752969
640  29 0.0229612035
642   1 0.0007917656
645   1 0.0007917656
649   1 0.0007917656
650  46 0.0364212193
651   2 0.0015835313
655   1 0.0007917656
660  18 0.0142517815
665   1 0.0007917656
670  26 0.0205859066
679   1 0.0007917656
680  26 0.0205859066
681   1 0.0007917656
685   1 0.0007917656
688   1 0.0007917656
690  18 0.0142517815
692   1 0.0007917656
700  12 0.0095011876
710  16 0.0126682502
718   1 0.0007917656
720  12 0.0095011876
730   5 0.0039588282
740  15 0.0118764846
750   4 0.0031670625
760   9 0.0071258907
770   7 0.0055423595
773   1 0.0007917656
780  11 0.0087094220
790   3 0.0023752969
800   5 0.0039588282
ACT Frequency 
[1] 1103
   ACT        ACTF
16   4 0.003626473
17   7 0.006346328
18  19 0.017225748
19  22 0.019945603
20  28 0.025385313
21  33 0.029918404
22  61 0.055303717
23 128 0.116047144
24 179 0.162284678
25 192 0.174070716
26 144 0.130553037
27  94 0.085222121
28  57 0.051677244
29  32 0.029011786
30  22 0.019945603
31  20 0.018132366
32  13 0.011786038
33  21 0.019038985
34  13 0.011786038
35  12 0.010879420
36   2 0.001813237
ADM_RATE Frequency 
[1] 1935
       ADM         ADMF
0.0626   1 0.0005167959
0.0636   1 0.0005167959
0.071    1 0.0005167959
0.0773   1 0.0005167959
0.0788   1 0.0005167959
0.0846   1 0.0005167959
0.0891   1 0.0005167959
0.0894   1 0.0005167959
0.0954   1 0.0005167959
0.0973   1 0.0005167959
0.1168   1 0.0005167959
0.1243   1 0.0005167959
0.1245   1 0.0005167959
0.1277   1 0.0005167959
0.1293   1 0.0005167959
0.1332   1 0.0005167959
0.1403   1 0.0005167959
0.1412   1 0.0005167959
0.1508   1 0.0005167959
0.1611   1 0.0005167959
0.1613   1 0.0005167959
0.1626   1 0.0005167959
0.1641   1 0.0005167959
0.1642   1 0.0005167959
0.1648   1 0.0005167959
0.1652   1 0.0005167959
0.1722   1 0.0005167959
0.1797   1 0.0005167959
0.1822   1 0.0005167959
0.1872   1 0.0005167959
0.1882   1 0.0005167959
0.1906   1 0.0005167959
0.194    1 0.0005167959
0.2015   1 0.0005167959
0.2016   1 0.0005167959
0.2026   1 0.0005167959
0.2028   1 0.0005167959
0.2055   1 0.0005167959
0.2082   1 0.0005167959
0.2099   1 0.0005167959
0.2143   1 0.0005167959
0.2154   1 0.0005167959
0.2186   1 0.0005167959
0.2197   1 0.0005167959
0.2222   1 0.0005167959
0.2252   1 0.0005167959
0.2266   1 0.0005167959
0.2281   1 0.0005167959
0.2302   1 0.0005167959
0.2308   1 0.0005167959
0.2313   1 0.0005167959
0.2413   1 0.0005167959
0.2429   1 0.0005167959
0.2438   1 0.0005167959
0.2455   1 0.0005167959
0.2469   1 0.0005167959
0.2478   1 0.0005167959
0.248    1 0.0005167959
0.2482   1 0.0005167959
0.2488   1 0.0005167959
0.2495   1 0.0005167959
0.2507   1 0.0005167959
0.2513   1 0.0005167959
0.2538   1 0.0005167959
0.2554   1 0.0005167959
0.2576   1 0.0005167959
0.2605   1 0.0005167959
0.2689   1 0.0005167959
0.2692   1 0.0005167959
0.2701   1 0.0005167959
0.2716   1 0.0005167959
0.2725   1 0.0005167959
0.2737   1 0.0005167959
0.2756   1 0.0005167959
0.2793   1 0.0005167959
0.2798   1 0.0005167959
0.2801   1 0.0005167959
0.2885   1 0.0005167959
0.2886   1 0.0005167959
0.2887   1 0.0005167959
0.2888   1 0.0005167959
0.2937   1 0.0005167959
0.2941   1 0.0005167959
0.2942   1 0.0005167959
0.2944   1 0.0005167959
0.2965   1 0.0005167959
0.2976   1 0.0005167959
0.2985   1 0.0005167959
0.2999   1 0.0005167959
0.302    1 0.0005167959
0.3028   1 0.0005167959
0.304    1 0.0005167959
0.3044   1 0.0005167959
0.3068   1 0.0005167959
0.3095   1 0.0005167959
0.3099   1 0.0005167959
0.3109   1 0.0005167959
0.3127   1 0.0005167959
0.3134   1 0.0005167959
0.3137   1 0.0005167959
0.3156   1 0.0005167959
0.3165   1 0.0005167959
0.3169   1 0.0005167959
0.3179   1 0.0005167959
0.3191   1 0.0005167959
0.3214   1 0.0005167959
0.3227   1 0.0005167959
0.3235   1 0.0005167959
0.3254   1 0.0005167959
0.3261   1 0.0005167959
0.327    1 0.0005167959
0.3271   1 0.0005167959
0.331    1 0.0005167959
0.3311   1 0.0005167959
0.3312   1 0.0005167959
0.3323   1 0.0005167959
0.3327   1 0.0005167959
0.3337   1 0.0005167959
0.3338   1 0.0005167959
0.3346   1 0.0005167959
0.3347   1 0.0005167959
0.3356   1 0.0005167959
0.3365   1 0.0005167959
0.3372   1 0.0005167959
0.3373   1 0.0005167959
0.3383   1 0.0005167959
0.3384   1 0.0005167959
0.3388   1 0.0005167959
0.341    1 0.0005167959
0.3421   1 0.0005167959
0.3444   1 0.0005167959
0.3449   1 0.0005167959
0.3453   1 0.0005167959
0.3456   2 0.0010335917
0.3457   1 0.0005167959
0.3464   1 0.0005167959
0.3477   1 0.0005167959
0.3487   1 0.0005167959
0.3496   1 0.0005167959
0.3497   1 0.0005167959
0.3525   1 0.0005167959
0.3558   1 0.0005167959
0.3578   1 0.0005167959
0.3584   1 0.0005167959
0.3629   1 0.0005167959
0.3643   1 0.0005167959
0.3683   1 0.0005167959
0.3691   1 0.0005167959
0.3699   1 0.0005167959
0.3702   1 0.0005167959
0.3706   1 0.0005167959
0.3717   1 0.0005167959
0.3725   1 0.0005167959
0.3732   1 0.0005167959
0.374    1 0.0005167959
0.3741   1 0.0005167959
0.375    1 0.0005167959
0.3758   1 0.0005167959
0.3764   1 0.0005167959
0.3766   1 0.0005167959
0.3788   1 0.0005167959
0.379    1 0.0005167959
0.3805   1 0.0005167959
0.381    1 0.0005167959
0.3833   2 0.0010335917
0.3839   1 0.0005167959
0.3846   1 0.0005167959
0.3851   1 0.0005167959
0.3853   1 0.0005167959
0.3858   1 0.0005167959
0.3871   1 0.0005167959
0.3877   1 0.0005167959
0.3881   1 0.0005167959
0.3886   1 0.0005167959
0.3915   1 0.0005167959
0.3918   1 0.0005167959
0.3922   1 0.0005167959
0.3939   1 0.0005167959
0.3946   1 0.0005167959
0.3947   1 0.0005167959
0.3949   1 0.0005167959
0.3963   1 0.0005167959
0.3966   1 0.0005167959
0.3969   1 0.0005167959
0.3983   1 0.0005167959
0.3985   2 0.0010335917
0.3986   2 0.0010335917
0.3999   1 0.0005167959
0.4      1 0.0005167959
0.4004   1 0.0005167959
0.4007   1 0.0005167959
0.4014   1 0.0005167959
0.4018   1 0.0005167959
0.4022   1 0.0005167959
0.4027   1 0.0005167959
0.4031   1 0.0005167959
0.4037   1 0.0005167959
0.404    1 0.0005167959
0.4045   1 0.0005167959
0.4053   1 0.0005167959
0.4058   1 0.0005167959
0.4059   1 0.0005167959
0.406    1 0.0005167959
0.4062   1 0.0005167959
0.4068   1 0.0005167959
0.4081   2 0.0010335917
0.4083   1 0.0005167959
0.4095   2 0.0010335917
0.411    1 0.0005167959
0.4112   1 0.0005167959
0.4127   1 0.0005167959
0.4134   1 0.0005167959
0.4138   1 0.0005167959
0.4161   1 0.0005167959
0.4162   1 0.0005167959
0.4163   1 0.0005167959
0.4167   1 0.0005167959
0.4169   1 0.0005167959
0.4171   1 0.0005167959
0.4184   2 0.0010335917
0.4192   1 0.0005167959
0.4194   1 0.0005167959
0.4197   1 0.0005167959
0.4206   1 0.0005167959
0.4218   1 0.0005167959
0.4236   1 0.0005167959
0.4239   1 0.0005167959
0.4241   1 0.0005167959
0.4265   2 0.0010335917
0.4278   1 0.0005167959
0.4286   1 0.0005167959
0.4293   1 0.0005167959
0.4298   1 0.0005167959
0.431    1 0.0005167959
0.4316   1 0.0005167959
0.4318   2 0.0010335917
0.4322   2 0.0010335917
0.4323   1 0.0005167959
0.4328   1 0.0005167959
0.4329   1 0.0005167959
0.4335   1 0.0005167959
0.4336   1 0.0005167959
0.4341   1 0.0005167959
0.4343   1 0.0005167959
0.4345   1 0.0005167959
0.4347   1 0.0005167959
0.4348   1 0.0005167959
0.4353   2 0.0010335917
0.4355   1 0.0005167959
0.4371   1 0.0005167959
0.4374   1 0.0005167959
0.4386   1 0.0005167959
0.4397   1 0.0005167959
0.4398   1 0.0005167959
0.4399   1 0.0005167959
0.4404   1 0.0005167959
0.4412   1 0.0005167959
0.4415   1 0.0005167959
0.4431   1 0.0005167959
0.4432   1 0.0005167959
0.4434   1 0.0005167959
0.4442   1 0.0005167959
0.4444   2 0.0010335917
0.4447   2 0.0010335917
0.4449   1 0.0005167959
0.4455   2 0.0010335917
0.4456   1 0.0005167959
0.446    1 0.0005167959
0.4465   2 0.0010335917
0.4467   2 0.0010335917
0.4474   1 0.0005167959
0.448    2 0.0010335917
0.4484   1 0.0005167959
0.4485   1 0.0005167959
0.4487   1 0.0005167959
0.4488   1 0.0005167959
0.4495   1 0.0005167959
0.4505   1 0.0005167959
0.451    1 0.0005167959
0.4515   1 0.0005167959
0.4521   1 0.0005167959
0.4522   1 0.0005167959
0.454    1 0.0005167959
0.4544   2 0.0010335917
0.4545   1 0.0005167959
0.4547   2 0.0010335917
0.455    1 0.0005167959
0.4555   2 0.0010335917
0.4562   1 0.0005167959
0.4563   1 0.0005167959
0.4565   1 0.0005167959
0.4587   1 0.0005167959
0.4588   1 0.0005167959
0.4599   1 0.0005167959
0.4601   1 0.0005167959
0.4612   1 0.0005167959
0.4615   1 0.0005167959
0.4618   1 0.0005167959
0.4625   1 0.0005167959
0.4626   1 0.0005167959
0.4627   1 0.0005167959
0.463    1 0.0005167959
0.4633   1 0.0005167959
0.464    1 0.0005167959
0.4647   1 0.0005167959
0.4651   1 0.0005167959
0.4653   1 0.0005167959
0.4654   1 0.0005167959
0.4656   1 0.0005167959
0.4658   1 0.0005167959
0.4659   1 0.0005167959
0.4661   1 0.0005167959
0.4664   2 0.0010335917
0.4665   1 0.0005167959
0.4666   2 0.0010335917
0.4672   1 0.0005167959
0.4683   1 0.0005167959
0.4697   1 0.0005167959
0.4703   1 0.0005167959
0.4709   1 0.0005167959
0.4714   2 0.0010335917
0.4716   1 0.0005167959
0.4732   1 0.0005167959
0.4734   1 0.0005167959
0.4738   1 0.0005167959
0.4742   1 0.0005167959
0.4748   1 0.0005167959
0.4749   1 0.0005167959
0.4752   1 0.0005167959
0.4757   1 0.0005167959
0.4764   1 0.0005167959
0.4767   1 0.0005167959
0.4772   1 0.0005167959
0.4773   1 0.0005167959
0.4776   1 0.0005167959
0.4787   1 0.0005167959
0.4789   1 0.0005167959
0.479    2 0.0010335917
0.4801   1 0.0005167959
0.4806   1 0.0005167959
0.482    1 0.0005167959
0.4827   1 0.0005167959
0.4828   1 0.0005167959
0.4831   2 0.0010335917
0.4833   1 0.0005167959
0.4835   1 0.0005167959
0.4838   1 0.0005167959
0.4839   1 0.0005167959
0.4842   1 0.0005167959
0.4843   1 0.0005167959
0.4848   1 0.0005167959
0.4851   1 0.0005167959
0.4854   1 0.0005167959
0.4863   1 0.0005167959
0.4869   1 0.0005167959
0.4881   2 0.0010335917
0.4883   1 0.0005167959
0.4885   1 0.0005167959
0.4886   1 0.0005167959
0.4893   1 0.0005167959
0.4895   1 0.0005167959
0.4901   1 0.0005167959
0.4915   1 0.0005167959
0.4922   1 0.0005167959
0.4926   2 0.0010335917
0.4937   1 0.0005167959
0.495    2 0.0010335917
0.4954   1 0.0005167959
0.4957   1 0.0005167959
0.4994   1 0.0005167959
0.4997   1 0.0005167959
0.4999   1 0.0005167959
0.5      5 0.0025839793
0.501    1 0.0005167959
0.5012   1 0.0005167959
0.5014   1 0.0005167959
0.5029   1 0.0005167959
0.503    1 0.0005167959
0.504    1 0.0005167959
0.5052   1 0.0005167959
0.5056   1 0.0005167959
0.5061   1 0.0005167959
0.5063   2 0.0010335917
0.5075   1 0.0005167959
0.5078   1 0.0005167959
0.508    1 0.0005167959
0.5085   1 0.0005167959
0.5088   1 0.0005167959
0.509    2 0.0010335917
0.5104   1 0.0005167959
0.5106   1 0.0005167959
0.511    1 0.0005167959
