SAT Frequency 
[1] 1286
    SAT        SATF
325   1 0.000777605
370   1 0.000777605
405   1 0.000777605
410   3 0.002332815
420   1 0.000777605
430   2 0.001555210
435   1 0.000777605
440   4 0.003110420
445   1 0.000777605
450   7 0.005443235
460   9 0.006998445
463   1 0.000777605
470  18 0.013996890
475   2 0.001555210
478   1 0.000777605
480  12 0.009331260
485   2 0.001555210
490  26 0.020217729
495   1 0.000777605
500  28 0.021772939
502   1 0.000777605
505   2 0.001555210
508   1 0.000777605
510  34 0.026438569
513   2 0.001555210
515   1 0.000777605
520  54 0.041990669
525   2 0.001555210
528   2 0.001555210
530  53 0.041213064
531   1 0.000777605
533   1 0.000777605
535   2 0.001555210
536   1 0.000777605
537   1 0.000777605
538   2 0.001555210
540  74 0.057542768
548   1 0.000777605
550  71 0.055209953
553   1 0.000777605
555   4 0.003110420
558   2 0.001555210
560  91 0.070762053
562   1 0.000777605
563   2 0.001555210
565   5 0.003888025
568   2 0.001555210
570  67 0.052099533
573   3 0.002332815
574   1 0.000777605
575   4 0.003110420
577   1 0.000777605
578   4 0.003110420
580  61 0.047433904
583   3 0.002332815
585   6 0.004665630
586   1 0.000777605
588   1 0.000777605
590  67 0.052099533
595   2 0.001555210
600  75 0.058320373
605   4 0.003110420
608   1 0.000777605
609   1 0.000777605
610  58 0.045101089
613   1 0.000777605
615   3 0.002332815
618   3 0.002332815
620  63 0.048989114
625   1 0.000777605
627   2 0.001555210
630  36 0.027993779
635   2 0.001555210
640  37 0.028771384
643   1 0.000777605
647   1 0.000777605
648   2 0.001555210
650  28 0.021772939
655   2 0.001555210
658   1 0.000777605
660  31 0.024105754
670  22 0.017107309
678   1 0.000777605
680  23 0.017884914
690  22 0.017107309
700  18 0.013996890
708   1 0.000777605
710  13 0.010108865
720  14 0.010886470
730   3 0.002332815
740  15 0.011664075
750   4 0.003110420
760  13 0.010108865
770   6 0.004665630
780   7 0.005443235
790   9 0.006998445
800   5 0.003888025
ACT Frequency 
[1] 1116
   ACT        ACTF
14   2 0.001792115
16   5 0.004480287
17   7 0.006272401
18  16 0.014336918
19  26 0.023297491
20  24 0.021505376
21  24 0.021505376
22  63 0.056451613
23 117 0.104838710
24 185 0.165770609
25 198 0.177419355
26 148 0.132616487
27  95 0.085125448
28  62 0.055555556
29  38 0.034050179
30  21 0.018817204
31  24 0.021505376
32  16 0.014336918
33  17 0.015232975
34  15 0.013440860
35   9 0.008064516
36   4 0.003584229
ADM_RATE Frequency 
[1] 1942
       ADM         ADMF
0        1 0.0005149331
