SAT Frequency 
[1] 1291
    SAT         SATF
325   1 0.0007745933
383   1 0.0007745933
400   1 0.0007745933
410   1 0.0007745933
420   2 0.0015491867
430   1 0.0007745933
435   1 0.0007745933
436   1 0.0007745933
438   1 0.0007745933
440  10 0.0077459334
445   1 0.0007745933
447   1 0.0007745933
448   1 0.0007745933
450   7 0.0054221534
455   1 0.0007745933
460   6 0.0046475600
470  15 0.0116189001
475   4 0.0030983734
480  17 0.0131680868
485   2 0.0015491867
490  15 0.0116189001
493   1 0.0007745933
495   2 0.0015491867
500  26 0.0201394268
505   5 0.0038729667
506   1 0.0007745933
508   1 0.0007745933
510  43 0.0333075136
513   1 0.0007745933
515   2 0.0015491867
518   1 0.0007745933
520  48 0.0371804802
525   3 0.0023237800
528   2 0.0015491867
530  69 0.0534469404
535   4 0.0030983734
537   1 0.0007745933
540  82 0.0635166538
543   1 0.0007745933
545   2 0.0015491867
547   3 0.0023237800
548   5 0.0038729667
550  76 0.0588690937
555   2 0.0015491867
557   1 0.0007745933
560  73 0.0565453137
563   1 0.0007745933
565   3 0.0023237800
570  73 0.0565453137
573   1 0.0007745933
574   1 0.0007745933
575   1 0.0007745933
578   3 0.0023237800
580  88 0.0681642138
583   2 0.0015491867
585   3 0.0023237800
586   1 0.0007745933
590  59 0.0457010070
594   1 0.0007745933
595   2 0.0015491867
598   1 0.0007745933
600  57 0.0441518203
605   4 0.0030983734
607   1 0.0007745933
608   2 0.0015491867
610  60 0.0464756003
613   1 0.0007745933
615   2 0.0015491867
620  46 0.0356312936
622   1 0.0007745933
625   1 0.0007745933
630  46 0.0356312936
638   1 0.0007745933
639   1 0.0007745933
640  41 0.0317583269
645   2 0.0015491867
648   3 0.0023237800
649   1 0.0007745933
650  36 0.0278853602
660  22 0.0170410534
665   3 0.0023237800
670  24 0.0185902401
673   1 0.0007745933
680  30 0.0232378002
690  14 0.0108443067
693   1 0.0007745933
700  11 0.0085205267
708   1 0.0007745933
710  11 0.0085205267
715   1 0.0007745933
720  14 0.0108443067
730   4 0.0030983734
740  13 0.0100697134
750   8 0.0061967467
760   8 0.0061967467
765   1 0.0007745933
768   1 0.0007745933
770   8 0.0061967467
780   8 0.0061967467
790  11 0.0085205267
800   5 0.0038729667
ACT Frequency 
[1] 1143
   ACT         ACTF
15   1 0.0008960573
16   4 0.0035842294
17   9 0.0080645161
18  19 0.0170250896
19  19 0.0170250896
20  19 0.0170250896
21  25 0.0224014337
22  59 0.0528673835
23 113 0.1012544803
24 192 0.1720430108
25 197 0.1765232975
26 162 0.1451612903
27 118 0.1057347670
28  60 0.0537634409
29  39 0.0349462366
30  25 0.0224014337
31  18 0.0161290323
32  18 0.0161290323
33  12 0.0107526882
34  17 0.0152329749
35  13 0.0116487455
36   4 0.0035842294
ADM_RATE Frequency 
[1] 1896
       ADM         ADMF
0        3 0.0015822785
0.0484   1 0.0005274262
0.0569   1 0.0005274262
0.0584   1 0.0005274262
0.0705   1 0.0005274262
0.0734   1 0.0005274262
0.0741   1 0.0005274262
0.0742   1 0.0005274262
0.0774   1 0.0005274262
0.0815   1 0.0005274262
0.0881   1 0.0005274262
0.0918   1 0.0005274262
0.0978   1 0.0005274262
0.1055   1 0.0005274262
0.1173   1 0.0005274262
0.1224   1 0.0005274262
0.1274   1 0.0005274262
0.1301   1 0.0005274262
0.1327   1 0.0005274262
0.1342   1 0.0005274262
0.1386   1 0.0005274262
0.1392   1 0.0005274262
0.1428   1 0.0005274262
0.1432   1 0.0005274262
0.1451   1 0.0005274262
0.1495   1 0.0005274262
0.1532   1 0.0005274262
0.1555   1 0.0005274262
0.1556   1 0.0005274262
0.1594   1 0.0005274262
0.1603   1 0.0005274262
0.1674   1 0.0005274262
0.1685   1 0.0005274262
0.1697   1 0.0005274262
0.1702   1 0.0005274262
0.1716   1 0.0005274262
0.18     1 0.0005274262
0.1813   1 0.0005274262
0.1817   1 0.0005274262
0.1843   1 0.0005274262
0.1884   1 0.0005274262
0.1984   1 0.0005274262
0.1992   1 0.0005274262
0.2053   1 0.0005274262
0.2092   1 0.0005274262
0.2095   1 0.0005274262
0.21     1 0.0005274262
0.2143   1 0.0005274262
0.2165   1 0.0005274262
0.2199   1 0.0005274262
0.2218   1 0.0005274262
0.2228   1 0.0005274262
0.223    1 0.0005274262
0.2272   1 0.0005274262
0.2328   1 0.0005274262
0.2335   1 0.0005274262
0.2349   1 0.0005274262
0.2411   1 0.0005274262
0.2417   1 0.0005274262
0.2466   1 0.0005274262
0.2483   1 0.0005274262
0.25     1 0.0005274262
0.2547   1 0.0005274262
0.2548   1 0.0005274262
0.2549   1 0.0005274262
0.2561   1 0.0005274262
0.2578   1 0.0005274262
0.2603   1 0.0005274262
0.2604   1 0.0005274262
0.2633   1 0.0005274262
0.2638   1 0.0005274262
0.2643   1 0.0005274262
0.2712   1 0.0005274262
0.2719   1 0.0005274262
0.2731   1 0.0005274262
0.2732   1 0.0005274262
0.2759   1 0.0005274262
0.277    1 0.0005274262
0.2777   1 0.0005274262
0.2821   1 0.0005274262
0.2857   1 0.0005274262
0.2865   1 0.0005274262
0.2911   1 0.0005274262
0.2951   1 0.0005274262
0.2952   1 0.0005274262
0.2972   1 0.0005274262
0.2992   3 0.0015822785
0.2999   1 0.0005274262
0.3005   1 0.0005274262
0.303    1 0.0005274262
0.3041   1 0.0005274262
0.3053   1 0.0005274262
0.3056   1 0.0005274262
0.3074   1 0.0005274262
0.3082   1 0.0005274262
0.3084   1 0.0005274262
0.3107   1 0.0005274262
0.3116   1 0.0005274262
0.3121   1 0.0005274262
0.3123   1 0.0005274262
0.3178   1 0.0005274262
0.3186   1 0.0005274262
0.3198   1 0.0005274262
0.3222   1 0.0005274262
0.3225   1 0.0005274262
0.3231   1 0.0005274262
0.3239   1 0.0005274262
0.3271   1 0.0005274262
0.3273   1 0.0005274262
0.3297   1 0.0005274262
0.33     1 0.0005274262
0.3308   1 0.0005274262
0.3319   1 0.0005274262
0.3321   1 0.0005274262
0.3326   1 0.0005274262
0.3328   1 0.0005274262
0.3333   5 0.0026371308
0.3378   1 0.0005274262
0.3401   1 0.0005274262
0.3405   1 0.0005274262
0.341    1 0.0005274262
0.3414   1 0.0005274262
0.3416   1 0.0005274262
0.3421   1 0.0005274262
