"","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"253",253,"University of California-Berkeley","Berkeley","CA","94720","0.2161",770,34,"0.5008272276","0.0121","0.122","0","0.1172","0.0356","0","0.032","0","0.9068","73000","72500",76800,"NULL",1
"256",256,"University of California-Los Angeles","Los Angeles","CA","90095-1405","0.2711",740,33,"0.7276379784","0.0134","0.0835","0","0.1549","0.0465","0","0.017","0","0.9151","73100","70000",74500,"NULL",1
"295",295,"Claremont McKenna College","Claremont","CA","91711-6400","0.136",760,32,"0.7943925234","0.0032","0.0095","0.0284","0.082","0.0095","0","0.0189","0","0.9218","PrivacySuppressed","PrivacySuppressed",91700,"NULL",1
"483",483,"Pomona College","Claremont","CA","91711-6319","0.1296",760,34,"0.7697841727","0.0138","0","0","0.1436","0.0663","0","0.0912","0","0.9577","PrivacySuppressed","PrivacySuppressed",75800,"NULL",1
"555",555,"University of Southern California","Los Angeles","CA","90089","0.1993",760,34,"0.8402695204","0.0068","0.0923","0","0.0643","0.0071","0","0.0064","0","0.9019","91300","78100",73400,"NULL",1
"704",704,"Wesleyan University","Middletown","CT","06459","0.2423",740,33,"0.9031339031","0.0098","0","0","0.0575","0.0337","0","0.0701","0","0.9064","66400","54600",60800,"NULL",1
"707",707,"Yale University","New Haven","CT","06520","0.0773",800,NA,"0.8432835821","0.0171","0.0521","0","0.0879","0.0335","0","0.0311","0","0.9619","102400","100200",111600,"NULL",1
"726",726,"Georgetown University","Washington","DC","20057-0001","0.1807",750,NA,"0.8873085339","0.0091","0","0","0.0373","0.0154","0","0.0106","0","0.9332","129900","100100",102000,"NULL",1
"930",930,"Emory University","Atlanta","GA","30322","0.2668",760,NA,"0.8284637135","0.0037","0","0","0.1342","0.011","0","0.0325","0","0.8926","87400","69200",77300,"NULL",1
"934",934,"Georgia Institute of Technology-Main Campus","Atlanta","GA","30332-0530","0.5118",760,34,"0.6482326112","0.0627","0.5788","0","0.0456","0.0143","0","0.024","0","0.7932","82200","83100",78500,"NULL",1
